ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
34	Florida	Trash	white5.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	c	Correct	2.058201	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Corpse	white5.bmp	Bob	didn’t show up as a material witness for a drug case that involved a friend	neg	u	Correct	3.229037	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	told a woman that she had dropped her wallet	pos	c	Correct	1.986315	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Death	white5.bmp	Bob	shut a neighbor’s door when they accidentally left it open	pos	c	Correct	2.120340	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Stink	white5.bmp	Bob	tells those close to him that he loves them	pos	c	Correct	2.328531	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	left a burner on when leaving his house	neg	u	Correct	2.776775	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Stink	white5.bmp	Bob	donated 200 dollars to the local high school	pos	c	Correct	3.918576	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	scared a woman who was walking down a dark street alone	neg	u	Correct	12.316575	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	u	Correct	3.154700	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	War	white5.bmp	Bob	belittles the minority individuals he knows	neg	u	Correct	2.149710	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	War	white5.bmp	Bob	helped his friend fix up his house so his friend could afford a better house for his family	pos	c	Correct	7.008856	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	stole clothes from the washing machines at the laundromat	neg	u	Correct	2.101279	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	avoided other people in order not to give his cold to them	pos	c	Correct	6.363062	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	lent money to a friend in financial straits	pos	c	Correct	6.807122	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Stink	white5.bmp	Bob	helped a friend learn how to swim	pos	c	Correct	1.616828	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Ugly	white5.bmp	Bob	ran into a parked car while driving under the influence of liquor	neg	u	Correct	10.272914	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	put out his cigarette in a state building after observing a no smoking sign	pos	c	Correct	6.704858	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hell	white5.bmp	Bob	drove to Colorado to visit his parents	pos	c	Correct	6.442540	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Stink	white5.bmp	Bob	had his driver’s license suspended for drunken driving	neg	u	Correct	2.465638	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	u	Correct	6.639248	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	donates his time at the soup kitchen	pos	c	Correct	2.848090	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Spider	white5.bmp	Bob	buys all of his friends a drink at the bar	pos	c	Correct	3.595763	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Trash	white5.bmp	Bob	shot a song bird with his .22-caliber rifle	neg	u	Correct	3.353821	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	War	white5.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	c	Correct	7.114691	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	yelled at a waitress for being too slow	neg	u	Correct	1.780193	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Corpse	white5.bmp	Bob	turned in a work assignments on time	pos	c	Correct	2.943118	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Corpse	white5.bmp	Bob	shot a deer outside of hunting season	neg	u	Correct	2.218232	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Corpse	white5.bmp	Bob	took baby birds that he found in a nest that had fallen from from a tree and nursed them to adulthood	pos	c	Correct	3.906446	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	bought items at a discount store and returned them for a refund at a different store with higher prices	neg	u	Correct	6.237816	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Hurt	white5.bmp	Bob	did not show up for a prearranged tennis game	neg	u	Correct	4.221025	1	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pain	white5.bmp	Bob	rode his bike to work every day to cut down on pollution and gas consumption	pos	c	Correct	3.488390	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Stink	white5.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	Correct	2.710406	1	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	c	False	3.705062	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Smile	white5.bmp	Bob	threw a chair through a window at a beer party	neg	c	Correct	2.092413	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Smile	white5.bmp	Bob	volunteers one day a week to work for the child care center	pos	u	Correct	1.905686	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kiss	white5.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	u	Correct	5.940742	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Smile	white5.bmp	Bob	asked for spare change from a couple even though he had money	neg	u	False	3.056622	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	c	Correct	3.766449	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Gift	white5.bmp	Bob	refused to help his child fix his bike	neg	c	Correct	2.079095	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	parked his car in a space that was marked for a disabled person	neg	c	Correct	4.751679	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Friend	white5.bmp	Bob	cheated during a poker game	neg	c	Correct	4.685908	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kiss	white5.bmp	Bob	threatened some people with a gun for trespassing on his land	neg	c	Correct	2.759038	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	flew from Dayton to Los Angeles to visit a friend who was blue	pos	u	Correct	3.988755	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Puppy	white5.bmp	Bob	hit a dog in the street and drove away without stopping to notify the owner	neg	c	Correct	2.738542	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Friend	white5.bmp	Bob	loudly made racist statements to his friends while in a tavern	neg	c	Correct	2.085935	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Puppy	white5.bmp	Bob	read section from Alice in Wonderland to his children before they went to bed	pos	u	Correct	2.765991	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Friend	white5.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	c	Correct	3.782289	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kitten	white5.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	u	Correct	7.457880	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	repaired a child's bicycle over the weekend	pos	u	Correct	1.761126	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	defaced a large rock with spray paint in a public park	neg	c	Correct	2.950536	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Party	white5.bmp	Bob	gave $20 to the United Appeal	pos	u	Correct	3.716264	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kitten	white5.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	u	Correct	4.044893	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	went on a low fat diet and lost 20 pounds	pos	u	Correct	4.464414	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	spent two years working in the slums of Chicago at a strip club	neg	c	Correct	3.374704	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Puppy	white5.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	c	Correct	4.699183	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	siphoned gas from a car parked on the street	neg	c	Correct	4.296819	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Friend	white5.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	c	Correct	3.699961	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kiss	white5.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	3.111337	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	c	Correct	4.031909	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Friend	white5.bmp	Bob	always says good moring with a big grin on his face	pos	u	Correct	3.384623	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kitten	white5.bmp	Bob	volunteered to work at the day care center	pos	u	Correct	1.774486	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	stole money and jewelry from relatives he was living with	neg	c	Correct	1.809298	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	helped a neighbor child draw a picture	pos	u	Correct	4.353398	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Gift	white5.bmp	Bob	continually yells at his wife in public	neg	c	Correct	1.738216	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	helped in an activity program for handicapped children	pos	u	Correct	3.973124	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Gift	white5.bmp	Bob	does not forget to feed the birds every morning	pos	u	Correct	5.834957	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	u	Correct	11.628401	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Gift	white5.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	c	Correct	2.893247	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Party	white5.bmp	Bob	adopted small children and raised them as if they were his own	pos	u	Correct	2.355034	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Party	white5.bmp	Bob	bought a neighborhood child a balloon at the fair	pos	u	Correct	12.419280	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	lent a friend his new sleeping bag and tent to go camping	pos	u	Correct	3.665523	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	had a surprise party for his father's birthday	pos	u	Correct	1.463671	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	helped a friend review for a test	pos	u	Correct	2.036857	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kiss	white5.bmp	Bob	broke in a locker and stole $400 worth of ski equipment	neg	c	Correct	7.612884	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Smile	white5.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	Correct	5.558921	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	gave his seat on the bus to an older person	pos	u	Correct	2.680438	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Party	white5.bmp	Bob	keeps things down when children are sleeping	pos	u	Correct	2.107300	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kitten	white5.bmp	Bob	stole merchandise from his work	neg	c	Correct	6.688922	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	c	Correct	4.476842	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	gives directions to a driver who is lost	pos	u	Correct	5.203198	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Puppy	white5.bmp	Bob	built a stained glass lamp shade for his sister’s wedding present	pos	u	Correct	4.164794	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	was detained for assulting his wife	neg	c	Correct	2.170429	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	c	Correct	2.813674	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Flower	white5.bmp	Bob	laughed when a child fell out of a tree	neg	c	Correct	1.976929	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Happy	white5.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	c	Correct	10.776930	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Gift	white5.bmp	Bob	bought a friend a potted plant on Valentine’s Day	pos	u	Correct	4.265478	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Pretty	white5.bmp	Bob	helped a lost child find his way home	pos	u	Correct	3.276660	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Puppy	white5.bmp	Bob	let an older person get in front of him in a grocery checkout line	pos	u	Correct	20.885355	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Friend	white5.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	c	False	13.446474	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kitten	white5.bmp	Bob	smashed windows in a public building during a demonstration to protest construction of a home for the aged	neg	c	Correct	5.330454	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Party	white5.bmp	Bob	kicked his dog for eating some cheese left near the edge of the table	neg	c	Correct	2.950011	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Smile	white5.bmp	Bob	cooks a nice dinner for his friends	pos	u	Correct	1.723821	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kiss	white5.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	c	Correct	1.732060	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Kiss	white5.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	u	Correct	1.892368	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Gift	white5.bmp	Bob	helped a wheelchair patient up a ramp	pos	u	Correct	2.876181	2	1	pos	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Puppy	white5.bmp	Bob	had someone else take a math final for him	neg	c	Correct	2.020836	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
34	Florida	Party	white5.bmp	Bob	played his record player loudly late at night	neg	c	Correct	2.959558	2	1	neg	PSY-1514	2019-07-23_13.09.19.510000
