ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
343	Harvard	Gift	white1.bmp	Bob	read section from Alice in Wonderland to his children before they went to bed	pos	u	Correct	2.996822	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pretty	white1.bmp	Bob	bought items at a discount store and returned them for a refund at a different store with higher prices	neg	c	Correct	2.860568	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Friend	white1.bmp	Bob	bought a neighborhood child a balloon at the fair	pos	u	Correct	4.441863	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Happy	white1.bmp	Bob	donates his time at the soup kitchen	pos	u	Correct	2.474425	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pretty	white1.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	1.500849	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Party	white1.bmp	Bob	buys all of his friends a drink at the bar	pos	u	Correct	2.287006	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Flower	white1.bmp	Bob	fixed a squeaking rocking chair for his friend in the country	pos	u	Correct	2.976301	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Party	white1.bmp	Bob	helped a young child learn the alphabet	pos	u	Correct	3.127009	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Puppy	white1.bmp	Bob	stole clothes from the washing machines at the laundromat	neg	c	Correct	1.305330	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kiss	white1.bmp	Bob	threw a chair through a window at a beer party	neg	c	Correct	1.347291	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pretty	white1.bmp	Bob	helped a friend learn how to swim	pos	u	Correct	1.817659	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Puppy	white1.bmp	Bob	was detained for assulting his wife	neg	c	Correct	1.785522	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Flower	white1.bmp	Bob	helped a neighbor child draw a picture	pos	u	Correct	3.553126	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kiss	white1.bmp	Bob	went on a low fat diet and lost 20 pounds	pos	u	Correct	2.631082	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Puppy	white1.bmp	Bob	called the SPCA on coming across a hurt animal	pos	u	Correct	3.957663	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pretty	white1.bmp	Bob	helped his wife plant a large vegetable garden in the backyard	pos	u	Correct	4.335579	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Puppy	white1.bmp	Bob	lent money to a friend in financial straits	pos	u	Correct	1.702313	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Pretty	white1.bmp	Bob	helped a friend move into an apartment	pos	u	Correct	3.575865	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kiss	white1.bmp	Bob	avoided other people in order not to give his cold to them	pos	u	Correct	2.163042	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Party	white1.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	u	Correct	3.498184	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Gift	white1.bmp	Bob	took care of the neighbor’s pets while they were gone	pos	u	Correct	2.335763	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Party	white1.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	c	Correct	2.054369	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Kiss	white1.bmp	Bob	yelled at his grandma when she wouldn't lend him money	neg	c	Correct	4.767196	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Party	white1.bmp	Bob	helped a friend review for a test	pos	u	Correct	1.453416	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Smile	white1.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	u	Correct	2.797972	2	1	pos	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Flower	white1.bmp	Bob	found a good watch in a park and pawned it	neg	c	Correct	3.341933	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Happy	white1.bmp	Bob	yelled at a waitress for being too slow	neg	c	Correct	1.400751	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Smile	white1.bmp	Bob	loudly made racist statements to his friends while in a tavern	neg	c	Correct	4.288475	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Gift	white1.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	c	Correct	2.293970	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
343	Harvard	Friend	white1.bmp	Bob	stole merchandise from his work	neg	c	Correct	1.271322	2	1	neg	Scans-Mac-mini-3.local	2018-03-06_15.04.24.058526
